row,subject,structure,text
121,2_writing,3_general,This should have explored a bit further.
122,3_technical,2_copyedit,Be sure to refer to the figures here
123,2_writing,2_copyedit,Test species would be formal
124,2_writing,2_copyedit,hemolymph
125,2_writing,6_holistic,"This is what I meant by introducing biological background info pertinent to your experiment. I don’t need to know about the special pairs, but I do need to know about plastoquinone."
126,2_writing,3_general,"This abstract needs to be reformatted a little bit. Think two sentences for your intro, your hypothesis, one sentence for methods, two for results, and a short concluding sentence"
127,3_technical,4_specific,All of them or are you referring to Martin’s IGR?
128,1_basic,4_specific,Don’t state this until the discussion
129,4_logic,3_general,This mechanism is a little bit different than what you talked about in the introduction section
130,3_technical,2_copyedit,"I need to see some values in here other than p-value, don’t just describe the averages and standard devs show me them"
131,3_technical,3_general,could have summarized better because it is still recipe-style writing
132,2_writing,6_holistic,"Break this giant run-on into several, smaller sentences. Simpler sentences are typically better."
133,1_basic,4_specific,"This is close to interpretation (you are still explaining why you think something happened, not just what you saw happen). I’m going to allow it this time because I know you worked very hard to not put any interpretation in these results, but it’s an important point for you to understand in the future."
134,2_writing,6_holistic,"All the time? Be specific, please"
135,2_writing,4_specific,Write PKA in parenthesis since you referred to it as PKA later
136,2_writing,4_specific,End with a nice concluding sentence here
137,3_technical,3_general,Refer to your figures.
138,3_technical,3_general,Citations for this section?
139,2_writing,6_holistic,Ending a statement with proposition is considered to be informal. Use your best judgement to locate your informal/colloquial terms and revise.
140,3_technical,3_general,"This is raw data, you don’t need to include it."
141,3_technical,3_general,Include this in paragraph form in your results
142,4_logic,6_holistic,What do you think went wrong with your experiment? Why do you think the Manduca did not do what you thought?
143,3_technical,3_general,This is not enough for a figure caption
144,4_logic,4_specific,Is this always true?
145,4_logic,6_holistic,Why? The relevance of your results for the insecticides market is not very clear.
146,3_technical,4_specific,"As an alpha value of 0.05 (95% confidence) is standard, an alpha value does not need to be stated unless a value different from this standard is used."
147,2_writing,3_general,informal
148,3_technical,3_general,Missing a figure caption
149,3_technical,4_specific,"You could mention this different. The data is showing a tendency, however you didn’t get conclusive statistic results to support the hypothesis."
150,3_technical,2_copyedit,control
151,3_technical,2_copyedit,Specify the studied physiological process
152,2_writing,4_specific,I would move this to the methods section as it’s more specific to your experiment than knowledge about the Manduca.
153,3_technical,3_general,At least 2 citations are needed. You can use lab manual for your background information.
154,3_technical,2_copyedit,"Error bars are correct this time, although there’s no need to fill in the bars with that pattern. Also it’s odd that the bars are all the way on the left side of the graph…see me if you need help making graphs"
155,4_logic,6_holistic,"Any primary literature sources (journal articles) that deal with interspecific interactions involving betta fish? It would be very useful to cite and talk about those here, if there are."
156,2_writing,1_pointer,?
157,3_technical,2_copyedit,This caption is too conversational and not didactic enough.This caption needs to tell me what the error bars mean as well.
158,3_technical,4_specific,Citation?
159,3_technical,3_general,"This is redundant, a graph is a visual representation"
160,2_writing,2_copyedit,"Check spelling throughout:ResourcesThere = theirWhere = wereAll of the blue underlines need to be corrected, they indicate areas where you have used the wrong word."
161,4_logic,4_specific,This is not necessary. Focus more in the biological explanations
162,3_technical,4_specific,"A paired t-test is more appropriate for your data, as it takes into account the fact that you used the same fish for both treatments."
163,3_technical,2_copyedit,"Figures look great, but captions need to include stats and description of error bars"
164,3_technical,2_copyedit,Check the citation format
165,4_logic,4_specific,"Do you think this would have affected length differently than weight? Otherwise, this is  weak argument. The shade cloth did let some light through (about 25%)."
166,4_logic,6_holistic,"Why would methoprene cause a weight gain, what is the correlation there?"
167,2_writing,2_copyedit,Don’t need this
168,3_technical,4_specific,"The y-axis is so large that your results are not clear – scale it down so that your bars appear taller. Also, your data are ratios, right? Is there a more accurate and informative y-axis label that you could use? Right now it appears that you are showing the total height and total weight of the plants, which I don’t think is your goal."
169,3_technical,4_specific,What statistical test did you run?
170,3_technical,3_general,Pay particular attention to your figure and figure caption for tips on how to include one in your presentations
171,3_technical,3_general,"This table is okay because the data is presented well, and only relevant data is included, but this is basically still raw data. Can you think of a way to represent this graphically, perhaps?"
172,2_writing,4_specific,"Again, you really just mean the muscle. Saying this is like saying taking caffeine would make the workout machine say I’m lifting heavier weights."
173,4_logic,4_specific,"I don’t understand how is this study explaining your results. What is your interpretation based on what they did? If you can make the link between this study and the study of the other researchers, then it will be more clear."
174,3_technical,2_copyedit,This is a citation!  Just need to cite it and have use an in-text citation.
175,3_technical,4_specific,Think about your x-axis label. Is that really what the x-axis is showing?
176,3_technical,4_specific,"You didn’t measure UV here, you used sun vs. shade. Sunlight contains other wavelengths of light aside from UV."
177,4_logic,4_specific,"While possible, I’m hesitant to say that the marginal increase in soil temp would elicit such a dramatic response."
178,3_technical,3_general,Follow the formatting instructions in the citation formatting section (page 51) to construct your citation lists and in-text citations.
179,4_logic,3_general,There is no prediction in your hypothesis. Reformulate the hypothesis including the prediction.
180,3_technical,2_copyedit,"Be careful with using the word significantly, as that generally implies you had statistically significant data"
181,3_technical,4_specific,you need to justify it by backing it up with primary lit
182,3_technical,4_specific,You had 2. Control vs Experimental.
183,1_basic,4_specific,This belongs in the discussion. NO interpretation in the results.
184,4_logic,4_specific,"I would highlight on the fact that A23187 targets both IP3 and Ca2+ activated intracellular channels. If 2-APB targets IP3, think about how you could improve your current experimental design."
185,3_technical,4_specific,for 50 min – talk about the final check done to test the viability of chlorosplasts
186,3_technical,2_copyedit,You need to refer readers to your figures as you mention the info they show in the results.
187,1_basic,3_general,You need primary literature in your introduction
188,2_writing,6_holistic,"“like” is an informal term, consider “such as” instead. Use your best judgement to locate informal/colloquial terms in the rest of the report and revise."
189,3_technical,4_specific,"Adding an x-axis label does not mean you should remove the labels clarifying which is control and which is experimental (“treated”). If you don’t wish to have too much text, you could also make control and experimental different colors and add a key showing what the different colors mean."
190,3_technical,6_holistic,That is not related with threshold. What is falling between the latent period and the point of maximum contraction? Reconsider the definition of contraction period in the myogram.
191,3_technical,4_specific,The physical labeling process isn’t needed as labeling them differently or not even having a label (and having a separate way to differentiate the worms) would not affect the reproducibility of the experiment.
192,3_technical,4_specific,"Describe the results and data of the controls and include observations not presented in a formal figure or table, if appropriate."
193,4_logic,4_specific,How would cold affect enzyme function?
194,2_writing,4_specific,Leave this for the discussion.
195,3_technical,4_specific,Where is the statistical analysis?
196,4_logic,4_specific,Need some more discussion of the biological mechanisms here. How does green light affect length?
197,2_writing,4_specific,"Supported not correct. Solid abstract, but you need a sentence or two of methods."
198,2_writing,3_general,No quotes
199,3_technical,2_copyedit,How much and what is this made of?
200,3_technical,3_general,You need to specifically mention whether or not there was significant difference in treatments
201,4_logic,6_holistic,You need to elaborate on your experimental treatment. How might turbidity affect aggression? Cite some relevant studies.
202,2_writing,2_copyedit,"I would make your title about weight, since that is what you measured"
203,2_writing,3_general,This was a really nice complete introduction but try to summarize a little bit more the previous lit. You don’t need to go so in depth into their methods
204,3_technical,2_copyedit,What is the inhibitor? AchE inhibitor
205,2_writing,2_copyedit,contraction
206,3_technical,3_general,You should not display the same information in a figure and a table
207,4_logic,3_general,Can you make your hypothesis more straight-forward and clearer?
208,2_writing,2_copyedit,2?
209,2_writing,3_general,revise
210,2_writing,3_general,informal
211,4_logic,2_copyedit,You should make a clearer declaration of your hypothesis here.
212,2_writing,3_general,informal
213,4_logic,4_specific,Procedural error could be one reason. Maybe the chloroplasts were not successfully isolated. Recall that you did not actually look through the microscope and calculated relative chloroplast density this time. It could be error at maintaining the temp during the experiments. Explore possible reasons!
214,4_logic,4_specific,"Why would those be logical next steps, how would you test them? You did test ACh in the muscle so what were you going to do differently?"
215,3_technical,2_copyedit,"I believe we talked about error bars in class, so you should be good for the revision, but don’t forget to change them!"
216,3_technical,2_copyedit,Make sure you have a colon : between the author and the year
217,3_technical,2_copyedit,Specify that this was for stimulation
218,2_writing,2_copyedit,"This sentence is realllly complicated and there are a lot of clauses. Can you distill it down, or break it into two sentences? It’s hard to understand what you are saying."
219,3_technical,2_copyedit,"You don’t need to cite every sentence.  If you have a few sentences in a row that are from the same citation, you would just leave an intext citation after the group of sentences."
220,2_writing,4_specific,Hypothesis needs to be the last sentence of your introduction.
221,2_writing,3_general,These say similar things. Combine them.
222,3_technical,4_specific,"Your hypothesis was about R:S, but you are mixing up R:S and “overall mass” here. Need to give the actual p value"
223,3_technical,2_copyedit,two-sample
224,2_writing,4_specific,Can wait until methods. Too much details for the introduction.
225,3_technical,6_holistic,Do you think is necessary to explain this or is something you need to know to conduct the analysis?
226,3_technical,4_specific,"Why? Unpaired, correct?"
227,3_technical,4_specific,You don’t need this table with averages because this is basically what your graph is displaying
228,4_logic,4_specific,"This is a good connection.Your introduction is sparse and doesn’t set up your research question very well. You don’t mention anything about resource allocation or phenotypic plasticity, for example. You should fill this out more by explaining these concepts, and then talking about why you think salinity in particular will affect R:S ratios."
229,3_technical,3_general,"The format of your list should be the same. Eg. MLA, APA etc."
230,3_technical,2_copyedit,Mention standard deviation
231,3_technical,3_general,You should mention the figures in this section
232,2_writing,3_general,No need for this info.
233,2_writing,3_general,revise
234,2_writing,3_general,I would edit this whole section for grammar and typos
235,2_writing,4_specific,Need some more background info about how acid rain would affect soil and resource allocation
236,3_technical,2_copyedit,This should be a colon :
237,4_logic,4_specific,I wouldn’t talk about twitch amplitude here unless you plan on discussing it in your results
238,2_writing,3_general,informal
239,3_technical,4_specific,What statistical analysis did you run? Please ask me if you have questions about this!
240,1_basic,3_general,No citations in the discussion
241,3_technical,3_general,Follow the formatting instructions in the citation formatting section (page 51) to construct your citation lists and in-text citations.
242,4_logic,3_general,Your job in the discussion is to come up with several reasons why this could occur
243,3_technical,2_copyedit,Check the citation format
244,2_writing,4_specific,Include a sentence about your results and another sentence about your conclusions.
245,2_writing,4_specific,"You have to introduce NADP+ first before why you used DCPIP can make sense. Also, explain how DCPIP affects your results."
246,3_technical,4_specific,"Clarify that the injections were on the same frogs and that the measurement procedure was then repeated. Also, what statistical test(s) did you run?"
247,4_logic,3_general,"Yes, there are many explanations. Look for examples in the literature. E.g. find papers about how color affects aggression"
248,4_logic,6_holistic,"This is good but I want to see you go deeper. Think biological reasoning for why calcium channel activator *could*, *not* promote growth toward calcium. Um…see me in lab about this because I’m pretty sure this comment made zero sense and I can’t make it make sense right now."
249,4_logic,4_specific,"How does JH or methoprene effect weight, what led you to make this connection"
250,2_writing,2_copyedit,Change language
251,3_technical,4_specific,"I would recommend you to use different y-axes, one for each variable or create two figures.Reconsider the x-axis"
252,2_writing,4_specific,"What background info led you to this experimental question? Naturally after you explain that briefly, you can state your hypothesis"
253,4_logic,6_holistic,Why? What motivates intraspecific aggression? What are its costs and benefits? You need to be specific
254,3_technical,2_copyedit,Water was added
255,4_logic,4_specific,"The first part of this sentence is inconsistent with your results. Also, you aren’t proving Azagard blocks ecdysone, you already know it does that"
256,3_technical,2_copyedit,"Azamax is the brand, azadirachtin is the actual chemical in it"
257,2_writing,3_general,"followed by red and green. I tried to spot and suggest better way to structure your writing, but go through your report again to revise for a well-structured, concise sentences with proper terms."
258,3_technical,4_specific,"Juvenile Hormone and Ecdysterone (20E) are separate hormones. If you used a ecdysterone blocker, it was likely Azamax or Azaguard. You may want to ask your other lab members which is was and include it within your methods."
259,3_technical,4_specific,The y-axis of the graph is in cm
260,3_technical,2_copyedit,Just use the first author’s last name
261,3_technical,2_copyedit,"Good time to reference your figure, and reference the specific catepillars"
262,3_technical,2_copyedit,At what wavelength?
263,2_writing,2_copyedit,remove
264,3_technical,2_copyedit,correct the figure number in the image to clear confusion
265,2_writing,3_general,"Don’t need to use quotations, just paraphrase."
266,2_writing,2_copyedit,…because you said this.
267,2_writing,4_specific,You can consolidate the main points from each of these sentences into one “plants use red light to induce phototropism”.
268,4_logic,4_specific,What might you suggest that is better for studying leg muscles than a frog?
269,2_writing,2_copyedit,and
270,3_technical,2_copyedit,Should’ve been a paired t-test
271,2_writing,2_copyedit,Too long. Revise. Or break into smaller sentences.
272,4_logic,8_nobasis,"Again, follow up with my comments in #1"
273,4_logic,3_general,This doesn’t have any support backing it.
274,3_technical,4_specific,Can you be more specific than response? That was the amplitude of contraction
275,2_writing,3_general,This abstract still has no hypothesis in it.
276,4_logic,3_general,Also explore the possible reasons why your herbicide experiment didn’t turn out the way you expected
277,2_writing,2_copyedit,This means that you are repeating information.
278,3_technical,4_specific,"Martin’s IGR is a JH activator, not an inhibitor. You didn’t test both, so this is not true."
279,3_technical,4_specific,What statistical test did you run?
280,2_writing,4_specific,This is too detailed for the introduction. Saying Martin’s IGR is enough for the sake of the introduction.
281,3_technical,4_specific,"any time you have an average graphed, you will need standard deviation bars. As such, this graph should have 16 total standard deviation bars."
282,3_technical,2_copyedit,Ask me or one of your group members to help you with how to properly make your graphs
283,3_technical,2_copyedit,Did you have a control group or the same muscles were stimulated before and after injection? Consider saying control condition
284,3_technical,2_copyedit,Paired t-test
285,3_technical,4_specific,This is not true. The bar does not represent the food. I t represents the average length of fur caterpillars treated with IGR.
286,2_writing,3_general,"Find a more professional way to say this, or just reference it mid sentence when talking about setup, more specifically to what each figure is showing"
287,3_technical,4_specific,"Simplified, K+ channels open after the acetylcholine is released and causes potassium to flow out and hyperpolarize the cell. This brings the nerve back down and near its resting potential. (In short, the potassium helps the nerve reset)."
288,2_writing,4_specific,"This is more summary and belongs in the abstract, not the intro. Think of the intro as describing the state of knowledge before the experiment takes place."
289,4_logic,3_general,"Don’t use a source of error as an explanation for your results, talk about what might be going on inside the caterpillar"
290,2_writing,2_copyedit,You already mentioned that you did the same for each leg
291,3_technical,4_specific,What is this receptor responsible for?
292,2_writing,2_copyedit,This is synonymous with “aggressive”
293,3_technical,4_specific,Your y-axis needs to have units on it.
294,3_technical,4_specific,I’m confused—why do you have two p-values here?
295,2_writing,3_general,Proofread
296,3_technical,2_copyedit,Delete. This information is essentially displayed in your bar graph. So no need for this
297,3_technical,4_specific,So I don’t know if you incorporated the new data I gave you in here but make sure you do if you haven’t already
298,2_writing,3_general,revise
299,3_technical,4_specific,"This is confusing, get right to if it is accepted or not and focus on the hypothesis not the null hypothesis. What told you it was significant?"
300,2_writing,1_pointer,Language….
301,3_technical,4_specific,"So, yes your p-value means insignificant data, but you then talk about what should happen. This is the correct way to go but you need to elaborate on what azamax should do and how it could have produced the data you saw."
302,3_technical,2_copyedit,I think you mixed up the order of your figure captions and figures (not something to worry too much about just be aware)
303,3_technical,3_general,Your figure caption should relay what you want me to get out of looking at this figure.
304,3_technical,4_specific,Why is the Manduca helpful to study?
305,2_writing,6_holistic,Are you sure it is the correct tense for this section? Check with other primary lit
306,2_writing,2_copyedit,You could omit this
307,4_logic,3_general,This seems counter to what you thought?
308,3_technical,4_specific,This is a very low doses.
309,3_technical,3_general,"Your statistical results still don’t need to be in a table, and need to be mentioned in your lab report in your results and discussion"
310,3_technical,4_specific,Your data does not look like it would be significant.  Try to run a t-test on the difference in weight/length between the first and last day of each manduca.  Let me know if you want clarification.
311,3_technical,2_copyedit,At what temp?
312,3_technical,3_general,Can you cite your source? This should apply to all established facts that are not your original work.
313,2_writing,4_specific,You can reconsider the order of the ideas in the Abstract. You are missing information about the results. Remember that the abstract could include information from all the lab report sections
314,3_technical,2_copyedit,Stats?
315,3_technical,2_copyedit,Cross check again (technical error)
316,3_technical,4_specific,"As you’re more interested in the total difference in mass rather than the change for each day, you could use a bar graph showing the difference between final/initial mass (Your current graph works too but, you will want to quantify the difference in growth in some way)."
317,2_writing,4_specific,This is an important point that should be re-iterated in your abstract as one of the concluding lines.
318,2_writing,6_holistic,"Consider this statement more carefully. Which concept is the cause, and which is the effect? What do you really mean by this? Your intro is somewhat unstructured. You go from broad statements to specific, and then back to broad again before narrowing on your hypothesis. How can you make this flow more smoothly?"
319,3_technical,4_specific,"You state a lot of data/observations in the discussion.  You should state them in the results, and reference them in the discussion. Also, you NEED to have a citation in the discussion that is not the lab manual."
320,3_technical,2_copyedit,Herbicide was your another treatment
321,2_writing,4_specific,Title should VERY briefly state the main takeaway of your experiment
322,2_writing,2_copyedit,Remove this
323,2_writing,2_copyedit,This is all unnecessary information
324,3_technical,2_copyedit,Edit it to simply read “Experimental” and “Control” (“Series 1” and “Series 2” are confusing). Let me know if you need help.
325,1_basic,3_general,Missing outside sources (basic criteria)
326,4_logic,3_general,"Good job comparing to other studies. Focus on that in the future, instead of re-stating the results"
327,3_technical,2_copyedit,Leave out in-text citations for the abstract. Instead you can say something along the lines of “Previous studies have shown….”
328,3_technical,2_copyedit,"Just say that there was no significant difference (t = , df = , p =)"
329,3_technical,2_copyedit,Probably those values of the mean and SDare not necessary because that information is already I the figure
330,3_technical,2_copyedit,"Citations format. This should be the Journal name, the number and pages Ex: Journal of Experimental Biology. 61: 481-491"
331,3_technical,2_copyedit,At what temp?
332,3_technical,4_specific,Include steps about how you prepared your dilution solution
333,3_technical,4_specific,"For all the results that were not significant, pick the ones that caught your attention and only include those."
334,3_technical,4_specific,"This is unclear. What do you mean by promote into adulthood, and your t-test says your data is significant so the precor you used was enough to do something."
335,2_writing,2_copyedit,Unnecessary
336,3_technical,2_copyedit,To record the myograms of the muscles contractions
337,2_writing,3_general,This title needs to be more specific. Ask your lab mates or see me for suggestions.
338,3_technical,4_specific,Include mean ± SD for each group at the end of the experiment to support that statement. Include statistical outcome to corroborate if those difference were significant or not.
339,2_writing,3_general,Write your lab report as if you were trying to publish a study. Remember to start broadly.
340,3_technical,2_copyedit,"Should be 2018, as the lab manual was just updated!"
341,2_writing,8_nobasis,It is
342,3_technical,4_specific,"Mention the obtained result, that one that is supporting the hypothesis."
343,3_technical,2_copyedit,Lines a little hard to see.Use standard error here as well.
344,2_writing,2_copyedit,This would be a decent abstract if you deleted the first sentence.
345,4_logic,4_specific,"Your introduction doesn’t ever explain the reason plants allocate resources differentially, which makes it difficult for an inexperienced reader to understand your hypothesis."
346,3_technical,2_copyedit,You mean control?
347,2_writing,3_general,avoid using question mark statments
348,4_logic,4_specific,"Although you can mention that previous researchers found similar results than you by affecting the secretion of JH instead, I will recommend you look for another source."
349,2_writing,2_copyedit,"This supports your earlier claims, but it belongs earlier in the paper."
350,3_technical,3_general,"You can assume your reader understands basic statistics, so no need to explain p values."
351,3_technical,2_copyedit,"You reported this right, good job. You should also report the means +/- standard deviations and reference your figure(s) here."
352,2_writing,3_general,"I didn’t catch this before, but we can never prove things in science."
353,2_writing,1_pointer,?
354,3_technical,4_specific,Why are you focusing on the statistical tests in the figure captions? You should describe here the information that is displayed in the figures. Give details. Figure captions should be self-explanatory
355,2_writing,3_general,Almost sounds colloquial. Try a different word here
356,3_technical,2_copyedit,No sentences for just the p-vale. Write the results similar to the example that we analyzed in the last lab.
357,2_writing,4_specific,"There’s a lot in this sentence, can you unpack it a bit, and explain what R:S ratio is?"
