"","subject","structure","text"
"112","outgroup","outgroup","You don’t really use primary literature in any section, although I’ll give it a pass because it’s the first lab report. Make sure all articles you cite are peer-reviewed from here on out."
"113","outgroup","outgroup","Your discussion would have been strong had you used actual primary literature."
"114","ingroup","outgroup","Your citations need to be in a different format."
"115","outgroup","outgroup","You also need to focus on using scientific language throughout the lab report."
"116","ingroup","outgroup","Vermiculite"
"117","ingroup","outgroup","What about statisitics?"
"118","outgroup","outgroup","Why? What about sand promotes root vegetable growth?"
"119","outgroup","outgroup","You need to introduce all elements of your hypothesis before you formally state your hypothesis."
"120","ingroup","ingroup","You should reorganize the figure so that treatments are next to one another to make comparisons easier."
"121","ingroup","ingroup","All these numbers are confusing and make your result section hard to follow."
"122","ingroup","outgroup","Amplitude of  contraction"
"123","ingroup","outgroup","At what voltage. That is important for this figure."
"124","ingroup","ingroup","Consider the y-axis: Amplitude of Contraction (V)"
"125","outgroup","outgroup","redaction"
"126","outgroup","outgroup","This sentence looks incomplete."
"127","ingroup","ingroup","You don’t need to mention all these, that information is included in the figure."
"128","ingroup","ingroup","You should include that was obtained at different voltages of stimulation."
"129","ingroup","outgroup","Are these averaged values? Where are the SD"
"130","ingroup","outgroup","Citation formatting"
"131","ingroup","outgroup","Citations"
"132","ingroup","outgroup","Different doses"
"133","ingroup","outgroup","Do not cite your hypothesis"
"134","ingroup","outgroup","Do not use separate sentences for statistics"
"135","outgroup","outgroup","Hypotheses are neither correct nor incorrect. The data support or make you reject the hypothesis, but that does not mean it was correct or incorrect."
"136","outgroup","outgroup","Passive voice is recommended"
"137","ingroup","outgroup","This is not a figure legend. You need to explain the figure information here"
"138","outgroup","outgroup","And what effect(s) do you predict (hypothesize) that it will have?"
"139","outgroup","outgroup","I actually liked your first couple sentences in the first draft intro. Why replace them?"
"140","ingroup","ingroup","Be more specific about what you mean here, what is the exact thing you are measuring?"
"141","ingroup","outgroup","Careful using this term, unless it was actually exponential growth"
"142","ingroup","outgroup","Describe activity"
"143","outgroup","outgroup","For manduca sexta is it better to keep in in a pupal phase or an adult?"
"144","ingroup","outgroup","How and with what?"
"145","ingroup","ingroup","State your statistical test but you do not report the results of it in this section."
"146","ingroup","outgroup","There are several things wrong with this chart, I count at least 3, try to fix this and then meet with me to go over it."
"147","ingroup","ingroup","They were 4th instar larvae"
"148","ingroup","ingroup","This is an observation"
"149","outgroup","outgroup","Try to be a little more precise here"
"150","outgroup","outgroup","Try to clean up this sentence"
"151","outgroup","outgroup","What exactly do you mean by this?"
"152","ingroup","ingroup","What is in azamax and how exactly does it work?"
"153","outgroup","outgroup","What lead you to think this? How would manipulating 20E levels affect growth, go past just “timing of molt”"
"154","outgroup","outgroup","What makes you think that?"
"155","outgroup","ingroup","What relation do these have to 20E and what do they control?"
"156","outgroup","outgroup","Why would prolonging the pupal stage make it lose weight? Does that make sense?"
"157","ingroup","outgroup","You can use the actual stats and numbers here if you want"
"158","ingroup","outgroup","You need to include a figure caption"
"159","outgroup","outgroup","A lot of this information leading up to this was more results and observations. I need to see interpretation of why you think you got these results, go into the biology of it, talk about previous studies that saw similar or dissimilar things"
"160","ingroup","outgroup","Change in weight"
"161","ingroup","ingroup","You can state your p-value again to back this statement up"
"162","outgroup","outgroup","A good concluding sentence here would be appreciated"
"163","ingroup","outgroup","Citation format is [last name of first author : year]"
"164","outgroup","ingroup","It’s good that you have an explanation now, but just logically thinking this out – if JH allows for longer larval growth durations, wouldn’t the weight of the treatment group be higher?"
"165","ingroup","outgroup","Much better. A note for the future, whenever you list averages, you should also have +/- a standard deviation"
"166","ingroup","outgroup","Remember to reiterate your statistical results in your figure caption"
"167","outgroup","ingroup","This is actually an excellent counter argument to the point I brought up in your intro - nice"
"168","ingroup","outgroup","Check this amount"
"169","ingroup","ingroup","Don’t use titles in figures, and you can shorten that y-axis"
"170","ingroup","outgroup","Look at the core resource guide and your primary literature for inspiration on what kind of things go into a figure caption, this one is missing some components"
"171","ingroup","ingroup","Meaning what will happen to your measurable variable?"
"172","outgroup","ingroup","Also talk more about what those studies did and found and how they relate to your own."
"173","ingroup","ingroup","Also, introduce your study organism"
"174","outgroup","outgroup","Push yourself on this discussion, what does this mean for the greater scientific community, why should we care about this study or similar ones?"
"175","ingroup","outgroup","Tell me tstat and df as well"
"176","ingroup","outgroup","What are these averages  and standard deviations of?"
"177","ingroup","outgroup","You don’t need this table, just the graph will do"
"178","ingroup","outgroup","These Captions need more information in them."
"179","ingroup","outgroup","Get the Author and cite"
"180","ingroup","ingroup","Re-organize the data to plot change in weight for control vs treatment groups"
"181","outgroup","outgroup","The goal is to “understand patterns/outcomes” not “prove”."
"182","ingroup","outgroup","Use academic search engines to get peer reviewed sources."
"183","ingroup","outgroup","We cite Authors, not publishers"
"184","outgroup","outgroup","You need few sentences for background to give room for other important information"
"185","ingroup","ingroup","Your objective first before hypothesis"
"186","ingroup","outgroup","Are these averaged values? Where are the SD?"
"187","ingroup","outgroup","Are these averaged values? Where are the SD?"
"188","outgroup","outgroup","Are these questions different?"
"189","ingroup","outgroup","Citations"
"190","ingroup","outgroup","Do not use a table to report the statistical outcome"
"191","outgroup","ingroup","Include the main obtained results in the Abstract."
"192","ingroup","ingroup","Statistical Analysis"
"193","ingroup","outgroup","This figure is repeated"
"194","ingroup","outgroup","Also include your statistical results in the caption and state the main conclusion the statistics give you (i.e. control and treatment final weights are different)."
"195","ingroup","outgroup","And because you have a caption your figure does not need a title"
"196","ingroup","outgroup","Be sure to reference your graphs somewhere in this section"
"197","ingroup","ingroup","Because your Table and Figure basically state the same data, I would just have the graph"
"198","ingroup","outgroup","Citation format is [last name : year], even for the lab manual. You can write [Johnson : 2018]"
"199","outgroup","ingroup","I would make this two sentences so it’s a little clearer that the last part is your hypothesis"
"200","ingroup","ingroup","I would reiterate your p-value in the first sentence or two, to state your hypothesis is supported because your results are significant (p&lt;0.05)"
"201","ingroup","ingroup","Is there a way to have all control and all treatment groups the same color? If not, a better legend on the graph that states controls are blue and treatments are red would be better."
"202","ingroup","ingroup","They were in the Incubator – which keeps the caterpillars warm, so it does the opposite of a refrigerator!"
"203","ingroup","ingroup","IGR stands for “Insect Growth Regulator” not “analog” or “mimic”, which are the words you are looking for here."
"204","outgroup","outgroup","…because?"
"205","outgroup","outgroup","Not necessary"
"206","outgroup","outgroup","Not quite true"
"207","ingroup","outgroup","See p.42 in the BioCore Resource Guide for correct in-text citation format (not the same as the annotation exercise)"
"208","outgroup","outgroup","What does this mean? (Clarification of title)"
"209","ingroup","ingroup","Where are your error bars? (and remember to put what they represent in the caption)."
"210","ingroup","outgroup","You should refer people to your tables/figures when talking about the results they show (this section), not just later in the discussion."
"211","ingroup","outgroup","I would just leave this as “Was not significantly different” as the word “significant” carries a statistical meaning and implies that it could have been due to chance."
"212","ingroup","outgroup","Make sure to include standard deviation bars"
"213","ingroup","outgroup","Two sample t-test"
"214","ingroup","ingroup","all these caterpillar pictures are nice, but if you’re going to include them, you need to reference them somewhere in your report, generally in methods"
"215","ingroup","ingroup","as long as you state your full statistical results in your results section, you do not need this figure"
"216","outgroup","outgroup","Can you think of a biological reason why your results may have occurred?"
"217","ingroup","outgroup","Citation format is [last name : year]"
"218","ingroup","outgroup","Did you use 4 containers or 8 if there’s one per living space?"
"219","ingroup","outgroup","it’s a little difficult to read this with all the colors being so different. Is it possible to get all treatment groups to be one color and all controls to be another?"
"220","ingroup","outgroup","Also, your graph doesn’t need a title, because everything you say in a title should go in the figure caption"
"221","ingroup","outgroup","p-value"
"222","ingroup","outgroup","Reference your graphs in this section"
"223","ingroup","outgroup","same here, no title."
"224","ingroup","outgroup","Also, make sure you label the y-axis."
"225","ingroup","ingroup","Finally, those standard deviations for each group look to be the same, which shouldn’t be the case. Make sure you’re setting each bar to have it’s own standard deviation"
"226","ingroup","outgroup","When reporting your averages, you should also write +/- your standard deviations"
"227","ingroup","ingroup","Why is this a helpful organism to study hormone regulation in?"
"228","ingroup","outgroup","You need to report the t-value, degrees of freedom, and the p-value in your results. The p-value is the most important here"
"229","ingroup","ingroup","As creating the schedule is of less interest to the reader than having a consistent feeding schedule, I may only say they were fed at 4pm each day for seven days."
"230","ingroup","ingroup","As stated above, any time you graph an average, standard deviation error bars would be needed. As such, this graph would need 14 standard deviation bars total."
"231","ingroup","ingroup","As you’re more interested in the total difference in mass rather than the change for each day, you could use a bar graph showing the difference between final/initial mass (Your current graph works too but, you will want to quantify the difference in growth in some way)."
"232","outgroup","outgroup","Be more specific about this. Does this mean they couldn’t molt? Molted much more often?"
"233","ingroup","ingroup","Because the day isn’t as important for your experiment (There’s no reason why we’d expect the caterpillars to behave differently in terms of feeding for a certain day), I would recommend having a graph with the average food eaten across all days rather than  having it broken up into 7 days."
"234","ingroup","outgroup","In addition, any time you have an average graphed, you will need standard deviation bars (The standard deviation error bar option on excel doesn’t work properly, take a look at the resource guide or email me to learn how to add it properly)"
"235","ingroup","outgroup","Incubator (at 27C)"
"236","ingroup","outgroup","Roughly 50 microliter (µL)"
"237","ingroup","outgroup","This is not needed as most people reading this will be able to assume the caterpillars were differentiable somehow."
"238","ingroup","outgroup","Try looking for the active ingredient in Precor. It uses a JH analogue rather than JH itself."
"239","ingroup","outgroup","Try looking in the resource guide under the citations section for how to cite the lab manual."
"240","outgroup","ingroup","You could also rephrase this as “In (scientific name of flies), it was shown that…”"
"241","ingroup","ingroup","You only need to say what statistical test was used."
"242","ingroup","outgroup","Chart is not needed"
"243","ingroup","outgroup","Chart not needed"
"244","outgroup","ingroup","I would exclude this isn’t an actual citation and the readers do not have access to this specific case study."
"245","ingroup","outgroup","I would leave this as “Martin’s IGR” as you explain the dilution later on in the methods"
"246","outgroup","outgroup","There’s always some uncertainties in science and words such as “prove” and “correct” should be avoided."
"247","outgroup","outgroup","And this"
"248","outgroup","outgroup","Great intro, but is a little long.  Try to look it over and see what the most important things are and don’t worry about the rest so much."
"249","ingroup","ingroup","Maybe try a different data analysis. Calculate the change in length from day 1 -8 and run a t-test on those values"
"250","outgroup","ingroup","Save the for the discussion"
"251","outgroup","ingroup","Some of this stuff would fit better in the results, then you can reference it in your discussion when you want to use it as evidence for your argument."
"252","ingroup","ingroup","This is almost significant. Maybe using weight change would be more effective"
"253","outgroup","ingroup","This section is a little long. Try to shorten this if you can by stating some of the observations in the results and referencing them in the discussion."
"254","ingroup","ingroup","What statistics test did you run? And on what data?"
"255","outgroup","ingroup","You are right to think this data my be invalid, but you should leave those sentences for the discussion, however you are right to include the findings in your results."
"256","outgroup","ingroup","You should have a short paragraph that sums up your results.  Include things like the average change in weight or length, your statistics results, and anything else you might bring up in your discussion as evidence."
"257","ingroup","outgroup","Caterpillar"
"258","ingroup","outgroup","List the p-value again"
"259","ingroup","ingroup","Rework how these are written, average 1.155 +/- 0.92. And make it consistent, average than standard dev"
"260","outgroup","ingroup","What is this, another caterpillar/moth or holometabolous insect, get a little more specific in the future"
"261","ingroup","outgroup","You can add the p-value here to help support your statement"
"262","outgroup","outgroup","You can condense this into one sentence in the future just summarizing it."
"263","outgroup","ingroup","Your hypothesis should be the last sentence of the intro, either move this into methods or put it before the hypothesis"
"264","ingroup","outgroup","Cite"
"265","outgroup","outgroup","Discuss the results based on what you did and the results obtained. The error part can be discussed at the end as areas of improvement if you have to do the experiment again."
"266","outgroup","ingroup","I would put the hypothesis in biological context here rather than stats. What is the reasoning behind your hypothesis? This usually comes from previous studies."
"267","outgroup","ingroup","Take to discussion"
"268","ingroup","ingroup","Use the means (average) for each group to graph your data. You were looking for the effect of IGR between 2 groups and not between replicates. As you can see in Fig. 1; the groups next to each other are not experimentally paired."
"269","ingroup","ingroup","You had 2. Control vs Experimental."
"270","ingroup","ingroup","Your reader would like to know what is Manduca sexta and why is it a good model organism for your experiment, before the objective. Minor error"
"271","ingroup","outgroup","Remember to include the title of the graph immediately after the figure number. Then you can continue with the rest of the caption."
"272","outgroup","ingroup","This belongs in the methods, not the intro. Just begin your intro with the next sentence."
"273","ingroup","ingroup","This belongs in your figure caption/legend, not here."
"274","outgroup","outgroup","This introduction needs citations! Without them, this lab report will fail. Since your reports are otherwise very good, please see me if you’re confused about the citation requirement because I don’t want to repeatedly give you a bad grade on an otherwise decent report for this one thing."
"275","outgroup","outgroup","You could include a sentence (or less) about why you predicted this."
"276","ingroup","outgroup","You should refer people to your figures in this section. Remember that in the report, they are not together."
"277","ingroup","outgroup","Check the citation format"
"278","outgroup","ingroup","Need some more info here about how clay might affect resource availability."
"279","outgroup","ingroup","The overwhelming majority of this information should go in the results section. In the discussion, you should just interpret the results and draw inference about your hypothesis, then compare to other studies and discuss biological mechanisms"
"280","outgroup","ingroup","This information all counts as “methods”. Here, you should state the general trends and the p values. Then refer to the figures and tables in the text"
"281","outgroup","ingroup","Can you state this more directly?"
"282","outgroup","ingroup","Did this study measure resource allocation? What were their results, specifically?"
"283","outgroup","ingroup","DID you assume this? Or are you referring to the results of the study you mentioned in the introduction?"
"284","outgroup","ingroup","I don’t think most of this paragraph is really necessary – focus only on the results of the experiment that you did. You can refer to the studies that you cited in the intro for support."
"285","ingroup","outgroup","Followed by Tukey-KramerYou don’t need to include the final sentence here"
"286","outgroup","ingroup","I would move this to the end of your introduction."
"287","outgroup","outgroup","In what way, why? Which resources might be lacking in a sandy environment versus a soil one?"
"288","outgroup","outgroup","Instead of this long discussion of potential errors in your experiment, can you spend more time talking about the potential implications or applications of your study? Why do we need to know how crop plants respond to different soil types?"
"289","ingroup","ingroup","Refer to figure again.Report the results of your ANOVA properly (see resource guide) – need the p-value in the results section."
"290","ingroup","outgroup","Also need the results of Tukey-Kramer test. Please also include means ± sd for R:S ratios for each group."
"291","outgroup","ingroup","Try something like, Mean R:S ratios for length and weight for the three groups in the experiment."
"292","ingroup","outgroup","There were/were not significant differences (include p-values). Error bars represent standard deviation."
"293","outgroup","outgroup","?"
"294","outgroup","outgroup","“or”"
"295","outgroup","outgroup","Add a comma after ANOVA. Commas were also needed throughout the report as well. Be sure to check for grammar and punctuation mistakes"
"296","outgroup","ingroup","Again, more information needs to go here. This would be almost acceptable for a lab notebook entry, but not for a lab report."
"297","outgroup","outgroup","Avoid colloquial language"
"298","outgroup","ingroup","Be sure to proofread before submitting for small mistakes like these throughout your report"
"299","outgroup","ingroup","Because of this finding, relate it back to the bigger picture? Why is this significant?"
"300","outgroup","outgroup","Colloquial language"
"301","ingroup","outgroup","Delete gridlines"
"302","ingroup","outgroup","Error bars?"
"303","ingroup","ingroup","Be more careful about how the image looks, so by still having the “percent change” selected and “plot” still in the image, it doesn’t look cleaned up. They’re small but easy fixes"
"304","outgroup","outgroup","Don’t need this"
"305","outgroup","ingroup","How? (Clarify a  source in introduction)"
"306","ingroup","outgroup","Include table of ANOVA and post hoc test results"
"307","outgroup","ingroup","More needs to be said here overall. As a reader, I was left asking myself “why” a lot. So add more detail, do more background info if you need to, and just be more thorough in your explanations."
"308","outgroup","outgroup","You also tend to write really short sentences that makes your report read really choppy. Adding detail will help with this. So ask yourself “why” and “how” to help you out."
"309","outgroup","outgroup","Of what? (Abstract wording)"
"310","outgroup","outgroup","Overall you need to work on writing quality and more detail. This is the bare minimum of what should be included in a lab report, but there needs to be more for full credit"
"311","ingroup","outgroup","Provide numbers to emphasize how big the difference is"
"312","ingroup","outgroup","This is incorrect. Recheck this (Methods correction)"
"313","outgroup","ingroup","This section contains a lot of fragments. Either combine the sentences somehow or continue the thought the make it a complete sentence"
"314","outgroup","outgroup","Through what? (Abstract wording)"
"315","outgroup","ingroup","Title should VERY briefly state the main takeaway of your experiment"
"316","ingroup","outgroup","What is this made of? (Methods clarification 1)"
"317","ingroup","outgroup","What is this made of? (Methods clarification 2)"
"318","outgroup","outgroup","Which one? (Abstract wording)"
"319","ingroup","ingroup","Which one? Post hoc test?"
"320","outgroup","outgroup","Why?"
"321","outgroup","outgroup","Write this section in past tense. Also use the actual symbols instead of writing out words like “degrees Celsius” or “microliters”"
"322","ingroup","outgroup","You can cite your own figures in this section."
"323","outgroup","outgroup","You can potentially condense this sentence into one so that it doesn’t read robotically."
"324","outgroup","ingroup","Your citations should support your findings in that it should explain why your results were surprising/not surprising."
"325","ingroup","ingroup","Also introduce statistical tests you performed to analyze the data"
"326","outgroup","outgroup","Are you sure it is the correct tense for this section? Check with other primary lit"
"327","outgroup","outgroup","Avoid this recipe style of writing methods section because that’s not how it is used in a scientific literature. Check primary literature on similar experiments to see how they wrote their methods section and revise."
"328","ingroup","outgroup","Cross check again (technical error)"
"329","outgroup","outgroup","Informal. Revise to make it formal. Use your best judgement to locate other informal/colloquial terms/texts/formats used elsewhere in the report and revise accordingly."
"330","ingroup","ingroup","Needs citation"
"331","outgroup","ingroup","Procedural error could be one reason. Maybe the chloroplasts were not successfully isolated. Recall that you did not actually look through the microscope and calculated relative chloroplast density this time. It could be error at maintaining the temp during the experiments. Explore possible reasons!"
"332","ingroup","outgroup","Refer to figures. Include your t-test results to justify."
"333","ingroup","outgroup","Remove Table# to avoid confusion. Provide your t-test stat results when you interpret %change."
"334","outgroup","ingroup","Revise this statement to make more formal"
"335","outgroup","outgroup","Wrong tense"
"336","ingroup","ingroup","Also introduce statistical tests you performed to analyze the data"
"337","outgroup","outgroup","Are you sure it is the correct tense for this section? Check with other primary lit"
"338","outgroup","outgroup","Avoid this recipe style of writing methods section because that’s not how it is used in a scientific literature. Check primary literature on similar experiments to see how they wrote their methods section and revise."
"339","outgroup","outgroup","Informal. Revise to make it formal. Use your best judgement to locate other informal/colloquial terms/texts/formats used elsewhere in the report and revise accordingly."
"340","ingroup","ingroup","Needs citation"
"341","outgroup","ingroup","Procedural error could be one reason. Maybe the chloroplasts were not successfully isolated. Recall that you did not actually look through the microscope and calculated relative chloroplast density this time. It could be error at maintaining the temp during the experiments. Explore possible reasons!"
"342","ingroup","outgroup","Refer to figures. Include your t-test results to justify."
"343","outgroup","ingroup","Revise this statement to make more formal"
"344","outgroup","outgroup","Wrong tense"
"345","ingroup","outgroup","Include a some results values and the statistics"
"346","ingroup","outgroup","Include the respective stats values associated with the figure"
"347","ingroup","ingroup","This is a good figure and sums up the other figure nicely, so you only need to include this one."
"348","outgroup","outgroup","This is unclear"
"349","ingroup","outgroup","This raw data and should not be included."
"350","outgroup","ingroup","This section should be in paragraph form, not numbered."
"351","outgroup","ingroup","This should be in paragraph for in your results."
"352","outgroup","ingroup","This should be included in sentence form in your results."
"353","ingroup","ingroup","Referencing the stats values here (in the discussion) would help make this a strong argument."
"354","ingroup","outgroup","What is the dilution?"
"355","ingroup","outgroup","Be careful of the wording since this ends up meaning you had 104mL total rather than 100mL total. It would be 4mL diluted in water for 100mL total volume."
"356","ingroup","outgroup","Error bars formatted incorrectly"
"357","ingroup","outgroup","Error bars improperly formatted"
"358","ingroup","outgroup","Error bars missing"
"359","ingroup","outgroup","I’m assuming this is from the lab manual. Make sure to cite this (Johnson, 2018)"
"360","outgroup","outgroup","Outside sources missing (basic criteria)"
"361","ingroup","outgroup","Although we do want to show significant differences usually, it’s an unspoken rule that you don’t just state “We are going after significance” as that shouldn’t be the goal of science."
"362","ingroup","outgroup","I probably wouldn’t even include anything about labeling."
