unique.record,report.id,sort,report.title,student,course,ta,lab,tag,type.TA,grade.TA,grading.time,Rank,hypothesis.ok,data.ok,citation.ok,interpretation.ok,organization.ok,techflaws.ok,writing.ok,comments.incorporated,ta.comment,code.subject,code.structure,code.locus,code.scope,code.tone,code.notes
Sp18.00035,R_a9mypg4ntfMcNi5,27,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,"I don’t understand how is this study explaining your results. What is your interpretation based on what they did? If you can make the link between this study and the study of the other researchers, then it will be more clear. ",4. Logic and Thinking,Specific info,Reflective,Within Report,FLAG,
Sp18.00036,R_a9mypg4ntfMcNi5,28,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,Include these with their corresponding means.,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00037,R_a9mypg4ntfMcNi5,29,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,interpret ???,4. Logic and Thinking,Pointer,Corrective,Within Report,Neutral,
Sp18.00038,R_a9mypg4ntfMcNi5,30,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,Mention standard deviation,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00039,R_a9mypg4ntfMcNi5,31,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,Methods should be written in past tense.,2. Writing Quality,General info,Directive,Within Report,Neutral,
Sp18.00040,R_a9mypg4ntfMcNi5,32,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,Omit this,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00041,R_a9mypg4ntfMcNi5,33,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,Report the mean ± SD. You should always report those values together. ,3. Technical and Scientific,Copy Correction,Directive,Beyond Report,Neutral,
Sp18.00042,R_a9mypg4ntfMcNi5,34,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,Rewrite this sentence. Find a better way to explain this idea because it is confusing.,2. Writing Quality,General info,Corrective,Within Report,FLAG,
Sp18.00043,R_a9mypg4ntfMcNi5,35,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,That difference was not enforced by the t-test because there was not statistical significance.,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral,
Sp18.00044,R_a9mypg4ntfMcNi5,36,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,That hormones regulate,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00045,R_a9mypg4ntfMcNi5,37,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,The standard deviation is not another important figure. ,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00046,R_a9mypg4ntfMcNi5,38,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,this is ambiguous ,2. Writing Quality,General info,Directive,Within Report,FLAG,
Sp18.00047,R_a9mypg4ntfMcNi5,39,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,"This is not quite right. JH only decreases during the last larval instar (5th), during the first four instars JH remains high and there are molts. ",3. Technical and Scientific,Specific info,Explanatory,Within Report,FLAG,
Sp18.00048,R_a9mypg4ntfMcNi5,40,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,"This is OK for the figure legend, but not for the results section.",3. Technical and Scientific,General info,Directive,Within Report,FLAG,
Sp18.00049,R_a9mypg4ntfMcNi5,41,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,unnecessary,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00050,R_a9mypg4ntfMcNi5,43,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,writting,2. Writing Quality,Pointer,Neutral,Within Report,Neutral,
Sp18.00051,R_a9mypg4ntfMcNi5,44,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,"You are missing an entire section, the Abstract. Don’t forget to include that because missing a section will lead to fail this evaluation.",1. Basic Criteria,General info,Directive,Within Report,FLAG,
Sp18.00052,R_a9mypg4ntfMcNi5,45,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,you are missing the error bars,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral,
Sp18.00053,R_a9mypg4ntfMcNi5,46,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,you can mention this earlier when you talked about the IGR and its use as a pesticide. ,2. Writing Quality,Specific info,Corrective,Within Report,Neutral,
Sp18.00054,R_a9mypg4ntfMcNi5,47,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,you can omit this,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00055,R_a9mypg4ntfMcNi5,48,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,,Yes,Yes,Yes,Yes,Yes,No,No,,"You don’t say the entire title of the figure, just say figure 1",3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00056,R_a9mypg4ntfMcNi5,49,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,157,Yes,Yes,Yes,Yes,Yes,No,No,,You should cite the lab manual for this because you got that information from there. ,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral,
Sp18.00057,R_a9mypg4ntfMcNi5,49,,Std_k55eEnUN,114,TA_kLMtS9Cu,manduca,first,Submission,F,20,158,Yes,Yes,Yes,Yes,Yes,No,No,,"Instead of saying: In case study 1, you could say: previous studies described the use of Insect Growth Regulators as alternative pesticides ",2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00058,R_1CBZHNIOd20AMid,50,,Std_NQE2hEZ9,113,TA_bc8EVX09,allocation,first,Revision,A,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Give the values! They’ll better illustrate your point,3. Technical and Scientific,Specific info,Directive,Within Report,Positive,
Sp18.00059,R_1CBZHNIOd20AMid,51,,Std_NQE2hEZ9,113,TA_bc8EVX09,allocation,first,Revision,A,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Great caption!,5. Praise or Concern,General info,Explanatory,Within Report,Positive,
Sp18.00060,R_1CBZHNIOd20AMid,52,,Std_NQE2hEZ9,113,TA_bc8EVX09,allocation,first,Revision,A,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Great introduction! You did a fantastic job of walking your reader through your thought process,5. Praise or Concern,Specific info,Directive,Within Report,Positive,
Sp18.00061,R_1CBZHNIOd20AMid,53,,Std_NQE2hEZ9,113,TA_bc8EVX09,allocation,first,Revision,A,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,This is kind of strange phrasing. Just say that seeds were grown. ,2. Writing Quality,Specific info,Corrective,Within Report,Neutral,
Sp18.00062,R_1CBZHNIOd20AMid,54,,Std_NQE2hEZ9,113,TA_bc8EVX09,allocation,first,Revision,A,4,139,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,This is much improved. ,5. Praise or Concern,No basis to judge,Explanatory,Beyond Report,Positive,
Sp18.00063,R_1CBZHNIOd20AMid,54,,Std_NQE2hEZ9,113,TA_bc8EVX09,allocation,first,Revision,A,4,140,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Your introduction was great and the rest of the paper was very solid. ,5. Praise or Concern,General info,Explanatory,Within Report,Positive,
Sp18.00064,R_1CBZHNIOd20AMid,54,,Std_NQE2hEZ9,113,TA_bc8EVX09,allocation,first,Revision,A,4,141,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"The only notable issue was in the discussion, which introduced differences between potted and natural plants, but never specifically explained the effect. In the future, make sure you explain every explanation thoroughly and specifically!",4. Logic and Thinking,Specific info,Directive,Beyond Report,Neutral,
Sp18.00065,R_1CBZHNIOd20AMid,55,,Std_NQE2hEZ9,113,TA_bc8EVX09,allocation,first,Revision,A,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"True, but why?",4. Logic and Thinking,Specific info,Reflective,Within Report,Neutral,
Sp18.00066,R_1CBZHNIOd20AMid,56,,Std_NQE2hEZ9,113,TA_bc8EVX09,allocation,first,Revision,A,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,What’s the difference? How does it relate to your study? You need to be more specific. ,4. Logic and Thinking,General info,Reflective,Within Report,Neutral,
Sp18.00067,R_cNmugCDjSYiLitL,57,,Std_0d5y7JDx,113,TA_YiRfsy28,allocation,first,Submission,C,12,8,Yes,Yes,Yes,Yes,Yes,No,No,,"Check spelling and grammar throughout. You have some missing and misspelled words, as well as places where you use the wrong homophone. ",2. Writing Quality,General info,Corrective,Within Report,Neutral,
Sp18.00068,R_cNmugCDjSYiLitL,58,,Std_0d5y7JDx,113,TA_YiRfsy28,allocation,first,Submission,C,12,,Yes,Yes,Yes,Yes,Yes,No,No,,Based on what observations? ,3. Technical and Scientific,Specific info,Reflective,Within Report,Neutral,
Sp18.00069,R_cNmugCDjSYiLitL,59,,Std_0d5y7JDx,113,TA_YiRfsy28,allocation,first,Submission,C,12,,Yes,Yes,Yes,Yes,Yes,No,No,,How many tails? ,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00070,R_cNmugCDjSYiLitL,60,,Std_0d5y7JDx,113,TA_YiRfsy28,allocation,first,Submission,C,12,,Yes,Yes,Yes,Yes,Yes,No,No,,How much?,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00071,R_cNmugCDjSYiLitL,61,,Std_0d5y7JDx,113,TA_YiRfsy28,allocation,first,Submission,C,12,,Yes,Yes,Yes,Yes,Yes,No,No,,Need a title that relates to your experiment – ask your peers for ideas if you need some. ,2. Writing Quality,Specific info,Directive,Within Report,Neutral,
Sp18.00072,R_cNmugCDjSYiLitL,62,,Std_0d5y7JDx,113,TA_YiRfsy28,allocation,first,Submission,C,12,,Yes,Yes,Yes,Yes,Yes,No,No,,Refer to the figure number. ,3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral,
Sp18.00073,R_cNmugCDjSYiLitL,63,,Std_0d5y7JDx,113,TA_YiRfsy28,allocation,first,Submission,C,12,,Yes,Yes,Yes,Yes,Yes,No,No,,"These are good examples, what is this concept called? Be specific. ",4. Logic and Thinking,Holistic,Reflective,Within Report,Positive,
Sp18.00074,R_cNmugCDjSYiLitL,64,,Std_0d5y7JDx,113,TA_YiRfsy28,allocation,first,Submission,C,12,129,Yes,Yes,Yes,Yes,Yes,No,No,,This figure is not informative. You should instead show a figure of the R:S length and weight ratios for your control and experimental plants.  ,3. Technical and Scientific,Specific info,Directive,Within Report,FLAG,
Sp18.00075,R_cNmugCDjSYiLitL,64,,Std_0d5y7JDx,113,TA_YiRfsy28,allocation,first,Submission,C,12,130,Yes,Yes,Yes,Yes,Yes,No,No,,"You should not have the exact same graph as your labmates, so make it on your own. ",6. Misconduct,Specific info,Directive,Within Report,Negative-reasonable,
Sp18.00076,R_cNmugCDjSYiLitL,64,,Std_0d5y7JDx,113,TA_YiRfsy28,allocation,first,Submission,C,12,131,Yes,Yes,Yes,Yes,Yes,No,No,,Your figure caption also should be much more descriptive. ,3. Technical and Scientific,General info,Corrective,Within Report,Neutral,
Sp18.00077,R_cNmugCDjSYiLitL,65,,Std_0d5y7JDx,113,TA_YiRfsy28,allocation,first,Submission,C,12,,Yes,Yes,Yes,Yes,Yes,No,No,,"This is a pretty good start to your introduction, but it doesn’t tell me anything about what previous studies looking at salinity in particular have found. Look for that research and integrate it into your intro to contextualize your experiment and hypothesis. ",4. Logic and Thinking,Holistic,Directive,Within Report,FLAG,
Sp18.00078,R_cNmugCDjSYiLitL,66,,Std_0d5y7JDx,113,TA_YiRfsy28,allocation,first,Submission,C,12,,Yes,Yes,Yes,Yes,Yes,No,No,,Use citation style in the lab resource guide/like was on the resource guide quiz. ,3. Technical and Scientific,General info,Directive,Within Report,Neutral,
Sp18.00079,R_cNmugCDjSYiLitL,67,,Std_0d5y7JDx,113,TA_YiRfsy28,allocation,first,Submission,C,12,,Yes,Yes,Yes,Yes,Yes,No,No,,"What concentration? Remember, you should include all of the details necessary so that someone could recreate your experiment later. ",3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00080,R_cNmugCDjSYiLitL,68,,Std_0d5y7JDx,113,TA_YiRfsy28,allocation,first,Submission,C,12,,Yes,Yes,Yes,Yes,Yes,No,No,,"Write this as if you were writing a scientific journal article instead of a lab notebook- avoid phrases like, “this lab.”",2. Writing Quality,General info,Directive,Within Report,Neutral,
Sp18.00081,R_cNmugCDjSYiLitL,69,,Std_0d5y7JDx,113,TA_YiRfsy28,allocation,first,Submission,C,12,,Yes,Yes,Yes,Yes,Yes,No,No,,"You say there is a statistical significance, but these p-values are not significant. Which is true? ",3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral,
Sp18.00082,R_eEUISUHhvVsZzpj,70,,Std_xVZWs2b6,113,TA_YiRfsy28,allocation,first,Revision,A,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Try something like, “The average R:S ratio for weight of sun plants was 0.635 ± 0.223”",3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral,
Sp18.00083,R_3EmeQfD9rHr8GYB,71,,Std_WWqzJAra,114,TA_l0zDB5kQ,manduca,first,Submission,B,12,,Yes,Yes,Yes,Yes,Yes,No,Yes,,"Choose one to include,  not both. ",3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral,
Sp18.00084,R_3EmeQfD9rHr8GYB,72,,Std_WWqzJAra,114,TA_l0zDB5kQ,manduca,first,Submission,B,12,,Yes,Yes,Yes,Yes,Yes,No,Yes,,"Don’t need this figure, it is summed up nicely by the other one.",3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral,
Sp18.00085,R_3EmeQfD9rHr8GYB,73,,Std_WWqzJAra,114,TA_l0zDB5kQ,manduca,first,Submission,B,12,,Yes,Yes,Yes,Yes,Yes,No,Yes,,"Don’t use quotations, just paraphrase",2. Writing Quality,General info,Directive,Within Report,Neutral,
Sp18.00086,R_3EmeQfD9rHr8GYB,74,,Std_WWqzJAra,114,TA_l0zDB5kQ,manduca,first,Submission,B,12,,Yes,Yes,Yes,Yes,Yes,No,Yes,,Good figure. Remember the caption goes below the figure.,11. FLAG,Copy Correction,Corrective,Within Report,Positive,
Sp18.00087,R_3EmeQfD9rHr8GYB,75,,Std_WWqzJAra,114,TA_l0zDB5kQ,manduca,first,Submission,B,12,,Yes,Yes,Yes,Yes,Yes,No,Yes,,"Grade: 3  TFGood job, just needs a few changes.",12. Narrative Comments,General info,Directive,Within Report,Positive,
Sp18.00088,R_3EmeQfD9rHr8GYB,76,,Std_WWqzJAra,114,TA_l0zDB5kQ,manduca,first,Submission,B,12,,Yes,Yes,Yes,Yes,Yes,No,Yes,,Include averages that correspond to this statement the p-value here,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00089,R_3EmeQfD9rHr8GYB,77,,Std_WWqzJAra,114,TA_l0zDB5kQ,manduca,first,Submission,B,12,,Yes,Yes,Yes,Yes,Yes,No,Yes,,Include this in paragraph form in your results section.,2. Writing Quality,Specific info,Corrective,Within Report,Neutral,
Sp18.00090,R_3EmeQfD9rHr8GYB,78,,Std_WWqzJAra,114,TA_l0zDB5kQ,manduca,first,Submission,B,12,,Yes,Yes,Yes,Yes,Yes,No,Yes,,Make this clear that this is your hypothesis.,4. Logic and Thinking,Specific info,Directive,Within Report,Neutral,
